,_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,EKITALDIA/EJERCICIO,SAILA/DEPARTAMENTO,SAILAREN DESKRIBAPENA_EU/DESCRIPCION DEPARTAMENTO_EU,SAILAREN DESKRIBAPENA_EU/DESCRIPCION DEPARTAMENTO_CAS,ZENTRU KUDEATZAILEA/CENTRO GESTOR,ZENTRO KUDEATZAILEAREN DESKR._EUS/DESCR. CENTRO GESTOR_EUS,ZENTRO KUDEATZAILEAREN DESKR._CAS/DESCR. CENTRO GESTOR_CAS,GASTU ARLOA/AREA DE GASTO,GASTU ARLOAREN DESKRIBAPENA_EUS/DESCRIPCION AREA DE GASTO_EUS,GASTU ARLOAREN DESKRIBAPENA_CAS/DESCRIPCION AREA DE GASTO_CAS,GASTU POLITIKA/POLITICA DE GASTO,GASTU POLITIKAREN DESKR.EUS/DESCR. POLITICA DE GASTO_EUS,GASTU POLITIKAREN DESKR._CAS/DESCR. POLITICA DE GASTO_CAS,TALDEA/GRUPO,TALDEAREN DESKRIBAPENA_EUS/DESCRIPCION GRUPO_EUS,TALDEAREN DESKRIBAPENA_CAS/DESCRIPCION GRUPO_CAS,PROGRAMA/PROGRAMA,PROGRAMAREN DESKRIBAPENA_EUS/DESCRIPCION PROGRAMA_EUS,PROGRAMAREN DESKRIBAPENA_CAS/DESCRIPCION PROGRAMA_CAS,KAPITULUA/CAPITULO,KAPITULUAREN DESKRIBAPENA_EUS/DESCRIPCION CAPITULO_EUS,KAPITULUAREN DESKRIBAPENA_CAS/DESCRIPCION CAPITULO_CAS,ARTIKULUA/ARTICULO,ARTIKULUAREN DESKRIBAPENA_EUS/DESCRIPCION ARTICULO_EUS,ARTIKULUAREN DESKRIBAPENA_CAS/DESCRIPCION ARTICULO_CAS,KONTZEPTUA/CONCEPTO,KONTZEPTUAREN DESKRIBAPENA_EUS/DESCRIPCION CONCEPTO_EUS,KONTZEPTUAREN DESKRIBAPENA_CAS/DESCRIPCION CONCEPTO_CAS,AZPIKONTZEPTUA/SUBCONCEPTO,AZPIKONTZEPTUAREN DESKRIBAPENA_EUS/DESCRIPCION SUBCONCEPTO_EUS,AZPIKONTZEPTUAREN DESKRIBAPENA_CAS/DESCRIPCION SUBCONCEPTO_CAS,PROIEKTUA/PROYECTO,PROIEKTUAREN DESKRIBAPENA/DESCRIPCION PROYECTO,HASIERAKO KREDITUA/CREDITO INICIAL 2023
10,11,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",220,BULEGO-MATERIALA,MATERIAL DE OFICINA,22002,"PRENTSA, ALDIZKARIAK, LIBURUAK ETA ARGITALPENAK","PRENSA, REVISTA, LIBROS Y OTRAS PUBLICACIONES",2021/00385,Alkatetzako zerbitzu orokorretako zuzendariordetzaren gastu arrunta/ Gasto corriente Subdirección SSGG Alcaldía,"500,00"
11,12,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",220,BULEGO-MATERIALA,MATERIAL DE OFICINA,22003,MATERIAL INFORMATIKO INBENTARIAEZINA,MATERIAL INFORMATICO NO INVENTARIABLE,2021/00385,Alkatetzako zerbitzu orokorretako zuzendariordetzaren gastu arrunta/ Gasto corriente Subdirección SSGG Alcaldía,"500,00"
12,13,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",221,HORNIDURAK,SUMINISTROS,22199,BESTELAKO HORNIDURAK,OTROS SUMINISTROS,2021/00385,Alkatetzako zerbitzu orokorretako zuzendariordetzaren gastu arrunta/ Gasto corriente Subdirección SSGG Alcaldía,"3.000,00"
13,14,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",226,ZENBAIT GASTU,GASTOS DIVERSOS,22601,KANONAK,CANONES,2021/00385,Alkatetzako zerbitzu orokorretako zuzendariordetzaren gastu arrunta/ Gasto corriente Subdirección SSGG Alcaldía,"6.800,00"
14,15,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",226,ZENBAIT GASTU,GASTOS DIVERSOS,22602,PROTOKOLO ETA ORDEZKARITZAKO ARRETA,ATENCIONES PROTOCALARIAS Y REPRESENTATIVAS,2021/00385,Alkatetzako zerbitzu orokorretako zuzendariordetzaren gastu arrunta/ Gasto corriente Subdirección SSGG Alcaldía,"25.000,00"
15,16,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",226,ZENBAIT GASTU,GASTOS DIVERSOS,22605,BILERAK ETA BATZARRAK,REUNIONES Y CONFERENCIAS,2013/00002,Bilboko Herritarren Kontseilua/ Consejo Cívico de la Villa de Bilbao,"3.000,00"
16,17,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",226,ZENBAIT GASTU,GASTOS DIVERSOS,22605,BILERAK ETA BATZARRAK,REUNIONES Y CONFERENCIAS,2021/00385,Alkatetzako zerbitzu orokorretako zuzendariordetzaren gastu arrunta/ Gasto corriente Subdirección SSGG Alcaldía,"500,00"
17,18,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",226,ZENBAIT GASTU,GASTOS DIVERSOS,22607,BESTE ENTE BATZUETAKO PARTAIDETZA-KUOTAK,CUOTAS PARTICIPACION EN OTROS ENTES,2006/00245,Beste ente batzuetako partaidetza-kuotak/ Cuotas de participación en otros entes,"269.000,00"
18,19,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",226,ZENBAIT GASTU,GASTOS DIVERSOS,22607,BESTE ENTE BATZUETAKO PARTAIDETZA-KUOTAK,CUOTAS PARTICIPACION EN OTROS ENTES,2023/00421,NBEren GJH bulegoa/ Oficina ODS de la ONU,"250.000,00"
19,20,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",226,ZENBAIT GASTU,GASTOS DIVERSOS,22699,BESTELAKO GASTUAK,OTROS GASTOS DIVERSOS,2021/00385,Alkatetzako zerbitzu orokorretako zuzendariordetzaren gastu arrunta/ Gasto corriente Subdirección SSGG Alcaldía,"500,00"
20,21,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",227,KANPOKO ENPRESEK EGINDAKO LANAK,TRABAJOS REALIZADOS POR OTRAS EMPRESAS EXTERNAS,22707,AZTERLAN ETA LAN TEKNIKOAK,ESTUDIOS Y TRABAJOS TECNICOS,2006/00246,"Udal gobernuarentzako aholkularitza, azterlanak eta laguntzeko lana/ Asistencia, estudios y trabajos de apoyo al gobierno municipal","36.300,00"
21,22,UDAL,UDAL,2023,110,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,1100,KULTURA ETA GOBERNANTZA,CULTURA Y GOBERNANZA,9,JARDUKETA OROKORRAK,ACTUACIONES DE CARÁCTER GENERAL,91,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,912,GOBERNU-ORGANOAK,ÓRGANOS DE GOBIERNO,9121,UDAL GOBERNUARI LAGUNTZEA,APOYO AL GOBIERNO MUNICIPAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",227,KANPOKO ENPRESEK EGINDAKO LANAK,TRABAJOS REALIZADOS POR OTRAS EMPRESAS EXTERNAS,22707,AZTERLAN ETA LAN TEKNIKOAK,ESTUDIOS Y TRABAJOS TECNICOS,2013/00002,Bilboko Herritarren Kontseilua/ Consejo Cívico de la Villa de Bilbao,"6.000,00"
